,question,context,context_len,options,answer,answer_idx,explanation,facts,patient,specialty
0,"The mechanism of action of the medication given blocks cell wall synthesis, which of the following was given?","['A 21-year-old sexually active male complains of fever, pain during urination, and inflammation and pain in the right knee.', 'A culture of the joint fluid shows a bacteria that does not ferment maltose and has no polysaccharide capsule.', 'The physician orders antibiotic therapy for the patient.']",3,"{'A': 'Gentamicin', 'B': 'Ciprofloxacin', 'C': 'Ceftriaxone', 'D': 'Trimethoprim'}",Ceftriaxone,C,,"['1. Patient is a 21-year-old male.', '2. Patient is sexually active.', '3. Patient complains of fever.', '4. Patient complains of pain during urination.', '5. Patient complains of inflammation and pain in the right knee.', '6. Culture of joint fluid shows a bacteria.', '7. Bacteria does not ferment maltose.', '8. Bacteria has no polysaccharide capsule.', '9. Physician orders antibiotic therapy for the patient.']","{'gender': 'Male', 'age': '21 years old', 'specialties': ['Internal Medicine', 'Urology'], 'subspecialties': ['Infectious Disease', 'General Urology'], 'specialty_prob': [0.6, 0.4], 'subspecialty_prob': [0.6, 0.4], 'gpt_specialty': 'Urology'}",Internal Medicine
3,Which of the following represents the most likely etiology of her anemia.,"['A 41-year-old woman presents to her primary care physician with complaints of fatigue and weakness.', 'She denies any personal history of blood clots or bleeding problems in her past, but she says that her mother has had to be treated for breast cancer recently and is starting to wear her down.', 'Her past medical history is significant for preeclampsia, hypertension, polycystic ovarian syndrome, and hypercholesterolemia.', 'She currently smokes 1 pack of cigarettes per day, drinks a glass of wine per day, and currently denies any illicit drug use.', 'Her vital signs include: temperature, 36.7°C (98.0°F); blood pressure, 126/74 mm Hg; heart rate, 111/min; and respiratory, rate 23/min.', 'On physical examination, her pulses are bounding and irregular, complexion is pale, but breath sounds remain clear.', 'On examination, the physician finds diffuse skin pallor and orders a complete blood count.', 'Her laboratory data demonstrate a hematocrit of 27.1%, MCV of 79 fL, and a reticulocyte count of 2.0%.', 'The patient is diagnosed with anemia.']",9,"{'A': 'Vitamin B12 deficiency', 'B': 'Folate deficiency', 'C': 'Iron deficiency', 'D': 'Intravascular hemolysis'}",Iron deficiency,C,,"['1. Patient is 41 years old.', '2. Patient complains of fatigue and weakness.', '3. Patient denies personal history of blood clots or bleeding problems.', ""4. Patient's mother has been treated for breast cancer recently."", ""5. Patient's past medical history includes preeclampsia, hypertension, polycystic ovarian syndrome, and hypercholesterolemia."", '6. Patient smokes 1 pack of cigarettes per day.', '7. Patient drinks 1 glass of wine per day.', '8. Patient denies any illicit drug use.', ""9. Patient's temperature is 36.7°C (98.0°F)."", ""10. Patient's blood pressure is 126/74 mm Hg."", ""11. Patient's heart rate is 111/min."", ""12. Patient's respiratory rate is 23/min."", ""13. Patient's pulses are bounding and irregular."", ""14. Patient's complexion is pale."", ""15. Patient's breath sounds are clear."", '16. Physician finds diffuse skin pallor.', '17. Physician orders complete blood count.', ""18. Patient's hematocrit is 27.1%."", ""19. Patient's MCV is 79 fL."", ""20. Patient's reticulocyte count is 2.0%."", '21. Patient is diagnosed with anemia.']","{'gender': 'Female', 'age': '41', 'specialties': ['Internal Medicine'], 'subspecialties': ['Hematology'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Internal Medicine'}",Internal Medicine
4,Which of the following is the most likely primary mechanism underlying this woman's temporal muscle atrophy?,"['A 59-year-old woman with stage IV lung cancer comes to the physician because of progressively worsening weakness in the past 3 months.', 'She has had a 10.5-kg (23-lb) weight loss during this period.', 'Her BMI is 16 kg/m2.', 'She appears thin and has bilateral temporal wasting.']",4,"{'A': 'Cytochrome c-mediated activation of proteases', 'B': 'Lipase-mediated degradation of triglycerides', 'C': 'TNF-α-mediated activation of caspases', 'D': 'Proteasomal degradation of ubiquitinated proteins'}",Proteasomal degradation of ubiquitinated proteins,D,,"['1. A 59-year-old woman has stage IV lung cancer.', '2. She has experienced progressively worsening weakness in the past 3 months.', '3. She has lost 10.5 kg (23 lbs) in the past 3 months.', '4. Her BMI is 16 kg/m2.', '5. She appears thin.', '6. She has bilateral temporal wasting.']","{'gender': 'Female', 'age': '59 years old', 'specialties': ['Internal Medicine'], 'subspecialties': ['Medical Oncology'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Internal Medicine'}",Internal Medicine
5,Which of the following is the most likely diagnosis?,"['A 67-year-old man presents to the emergency department with a fever and altered mental status.', 'The patient has a history of Alzheimer dementia and is typically bed bound.', 'His son found him confused with a warm and flushed complexion thus prompting his presentation.', 'The patient has a past medical history of dementia, diabetes, and hypertension and typically has a visiting home nurse come to administer medications.', 'Prior to examination, he is given haloperidol and diphenhydramine as he is combative and will not allow the nurses near him.', 'His temperature is 102.9°F (39.4°C), blood pressure is 104/64 mmHg, pulse is 170/min, respirations are 22/min, and oxygen saturation is 100% on room air.', 'Physical exam is notable for dry and flushed skin and a confused man.', 'There is no skin breakdown, and flexion of the patient’s neck elicits no discomfort.', 'Laboratory studies are drawn as seen below. |  | Hemoglobin: 15 g/dL | Hematocrit: 45% | Leukocyte count: 4,500/mm^3 with normal differential | Platelet count: 227,000/mm^3 |  | Serum: | Na+: 139 mEq/L | Cl-: 100 mEq/L | K+: 4.3 mEq/L | HCO3-: 24 mEq/L | BUN: 30 mg/dL | Glucose: 97 mg/dL | Creatinine: 1.5 mg/dL | Ca2+: 10.2 mg/dL | AST: 12 U/L | ALT: 10 U/L |  | Urine: | Color: Yellow | Bacteria: Absent | Nitrites: Negative | Red blood cells: Negative |  | An initial chest radiograph is unremarkable.', ""The patient is given 3 liters of Ringer's lactate and an electric fan to cool off."", 'Two hours later, his temperature is 99°F (37.2°C), blood pressure is 154/94 mmHg, pulse is 100/min, respirations are 17/min, and oxygen saturation is 100% on room air.', 'The patient’s mental status is at the patient’s baseline according to the son.']",12,"{'A': 'Exertional heat stroke', 'B': 'Neuroleptic malignant syndrome', 'C': 'Non-exertional heat stroke', 'D': 'Septic shock'}",Non-exertional heat stroke,C,,"['1. A 67-year-old man presents to the emergency department with a fever and altered mental status.', '2. The patient has a history of Alzheimer dementia and is typically bed bound.', '3. His son found him confused with a warm and flushed complexion thus prompting his presentation.', '4. The patient has a past medical history of dementia, diabetes, and hypertension.', '5. The patient typically has a visiting home nurse come to administer medications.', '6. Prior to examination, he is given haloperidol and diphenhydramine as he is combative and will not allow the nurses near him.', '7. His temperature is 102.9°F (39.4°C), blood pressure is 104/64 mmHg, pulse is 170/min, respirations are 22/min, and oxygen saturation is 100% on room air.', '8. Physical exam is notable for dry and flushed skin and a confused man.', '9. There is no skin breakdown, and flexion of the patient’s neck elicits no discomfort.', '10. Laboratory studies show a hemoglobin of 15 g/dL, hematocrit of 45%, leukocyte count of 4,500/mm^3 with normal differential, and platelet count of 227,000/mm^3.', '11. Serum Na+ is 139 mEq/L, Cl- is 100 mEq/L, K+ is 4.3 mEq/L, HCO3- is 24 mEq/L, BUN is 30 mg/dL, glucose is 97 mg/dL, creatinine is 1.5 mg/dL, Ca2+ is 10.2 mg/dL, AST is 12 U/L, and ALT is 10 U/L.', '12. Urine color is yellow, bacteria are absent, nitrites are negative, and red blood cells are negative.', '13. An initial chest radiograph is unremarkable.', ""14. The patient is given 3 liters of Ringer's lactate and an electric fan to cool off."", '15. Two hours later, his temperature is 99°F (37.2°C), blood pressure is 154/94 mmHg, pulse is 100/min, respirations are 17/min, and oxygen saturation is 100% on room air.', '16. The patient’s mental status is at the']","{'gender': 'Male', 'age': '67', 'specialties': ['Internal Medicine', 'Emergency Medicine'], 'subspecialties': ['Infectious Disease', 'Neurocritical Care'], 'specialty_prob': [0.8, 0.2], 'subspecialty_prob': [0.8, 0.2], 'gpt_specialty': 'Emergency Medicine'}",Internal Medicine
7,Which of the following is the best next step in management?,"['A 60-year-old woman presents to her primary care physician for a wellness checkup.', 'She has a past medical history of hypertension and was discharged from the hospital yesterday after management of a myocardial infarction.', 'She states that sometimes she experiences exertional angina.', 'Her temperature is 99.5°F (37.5°C), blood pressure is 147/98 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air.', 'Physical exam is within normal limits.']",5,"{'A': 'Atenolol', 'B': 'Furosemide', 'C': 'Hydrochlorothiazide', 'D': 'Nitroglycerin'}",Atenolol,A,,"['1. A 60-year-old woman presents to her primary care physician for a wellness checkup.', '2. She has a past medical history of hypertension.', '3. She was discharged from the hospital yesterday after management of a myocardial infarction.', '4. She states that sometimes she experiences exertional angina.', '5. Her temperature is 99.5°F (37.5°C).', '6. Her blood pressure is 147/98 mmHg.', '7. Her pulse is 90/min.', '8. Her respirations are 17/min.', '9. Her oxygen saturation is 98% on room air.', '10. Physical exam is within normal limits.']","{'gender': 'Female', 'age': '60 years old', 'specialties': ['Internal Medicine'], 'subspecialties': ['General Internal Medicine'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Internal Medicine'}",Internal Medicine
8,Which of the following characteristics best describes the most likely causal pathogen?,"['A 56-year-old woman is brought to the physician by her husband because of a two-day history of fever, malaise, headaches, and confusion.', 'She recently immigrated from rural China and her immunization status is unknown.', 'Her temperature is 39.1°C (102.4°F).', 'Physical examination shows nuchal rigidity and photophobia.', 'Cerebrospinal fluid analysis shows a neutrophil count of 1,500/mm3.', 'Cerebrospinal fluid cultured on Thayer-Martin agar and normal sheep blood agar shows no growth.', 'However, when the sheep blood agar sample is heated, numerous non-hemolytic, opaque, cream-colored colonies grow.']",7,"{'A': 'Gram-negative coccobacillus', 'B': 'Gram-positive, lancet-shaped diplococcus', 'C': 'Gram-negative diplococcus', 'D': 'Gram-positive, facultative intracellular bacillus'}",Gram-negative coccobacillus,A,,"['1. A 56-year-old woman is brought to the physician by her husband.', '2. She has a two-day history of fever, malaise, headaches, and confusion.', '3. She recently immigrated from rural China.', '4. Her immunization status is unknown.', '5. Her temperature is 39.1°C (102.4°F).', '6. Physical examination shows nuchal rigidity and photophobia.', '7. Cerebrospinal fluid analysis shows a neutrophil count of 1,500/mm3.', '8. Cerebrospinal fluid cultured on Thayer-Martin agar and normal sheep blood agar shows no growth.', '9. When the sheep blood agar sample is heated, numerous non-hemolytic, opaque, cream-colored colonies grow.']","{'gender': 'Female', 'age': '56', 'specialties': ['Internal Medicine', 'Infectious Disease'], 'subspecialties': ['Infectious Disease', 'General Infectious Disease'], 'specialty_prob': [0.8, 0.2], 'subspecialty_prob': [0.8, 0.2], 'gpt_specialty': 'Internal Medicine'}",Internal Medicine
9,The pathogen associated with this patient’s condition is also known to cause which of the following?,"['A 35-year-old male presents to his primary care physician complaining of a one-month history of progressively worsening fatigue.', 'He sought medical attention because this has affected his ability to complete his work as a graduate student.', 'As a child, he was hospitalized for hemolytic uremic syndrome.', 'His past medical history is also notable for diabetes mellitus and obesity.', 'He takes metformin and glyburide.', 'He does not smoke and drinks alcohol occasionally.', 'His family history is notable for chronic lymphocytic leukemia in his paternal uncle and stroke in his father.', 'His temperature is 99.9°F (37.7°C), blood pressure is 100/70 mmHg, pulse is 110/min, and respirations are 18/min.', 'Physical examination reveals diffuse pallor.', 'Hematologic labs are shown below: |  | Hemoglobin: 8.9 g/dL | Hematocrit: 24% | Leukocyte count: 7,500 cells/mm^3 with normal differential | Platelet count: 180,000/mm^3 | Mean corpuscular volume: 85 µm^3 | Reticulocyte count: 0.4% |  | Head and neck imaging is negative for neck masses.']",10,"{'A': 'Kaposi’s sarcoma', 'B': 'Erythema infectiosum', 'C': 'Mononucleosis', 'D': 'Croup'}",Erythema infectiosum,B,,"['1. Patient is a 35-year-old male.', '2. Patient has a one-month history of progressively worsening fatigue.', '3. Patient sought medical attention because fatigue has affected his ability to complete his work as a graduate student.', '4. Patient was hospitalized for hemolytic uremic syndrome as a child.', '5. Patient has past medical history of diabetes mellitus and obesity.', '6. Patient takes metformin and glyburide.', '7. Patient does not smoke and drinks alcohol occasionally.', ""8. Patient's family history is notable for chronic lymphocytic leukemia in his paternal uncle and stroke in his father."", ""9. Patient's temperature is 99.9°F (37.7°C)."", ""10. Patient's blood pressure is 100/70 mmHg."", ""11. Patient's pulse is 110/min."", ""12. Patient's respirations are 18/min."", '13. Physical examination reveals diffuse pallor.', '14. Hemoglobin is 8.9 g/dL.', '15. Hematocrit is 24%.', '16. Leukocyte count is 7,500 cells/mm^3 with normal differential.', '17. Platelet count is 180,000/mm^3.', '18. Mean corpuscular volume is 85 µm^3.', '19. Reticulocyte count is 0.4%.', '20. Head and neck imaging is negative for neck masses.']","{'gender': 'Male', 'age': '35', 'specialties': ['Internal Medicine'], 'subspecialties': ['Hematology'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Internal Medicine'}",Internal Medicine
10,Which of the following is the best treatment for the most likely cause for this patient’s illness?,"[""A 30-year-old man is brought to the doctor's office by his wife."", 'She complains that over the past week there have been 3 episodes where he has fallen asleep while speaking with her.', 'She mentioned that these events began a few months ago and have been increasing in frequency.', 'She also says that his snoring has gotten to the point where she has a hard time sleeping next to him.', 'When asked, the patient says that he frequently falls asleep while reading or watching television in the afternoons and feels refreshed after a short nap.', 'The patient is worried because he sometimes hears people who aren’t in the room as he falls asleep.', 'He is worried he might be “going crazy.” He has noticed that when his friends tell him a joke or he laughs at something on the TV, he drops whatever he’s holding and feels like his legs become weak.', 'These episodes self-resolve in a few seconds.', 'Examination shows a morbidly obese man in no acute distress.']",9,"{'A': 'Modafinil', 'B': 'Taking longer naps', 'C': 'Continuous positive airway pressure', 'D': 'Changing bedtime to earlier in the evening'}",Modafinil,A,,"[""1. A 30-year-old man is brought to the doctor's office by his wife."", '2. The wife complains that over the past week there have been 3 episodes where he has fallen asleep while speaking with her.', '3. The wife mentions that these events began a few months ago and have been increasing in frequency.', '4. The wife also says that his snoring has gotten to the point where she has a hard time sleeping next to him.', '5. When asked, the patient says that he frequently falls asleep while reading or watching television in the afternoons and feels refreshed after a short nap.', '6. The patient is worried because he sometimes hears people who aren’t in the room as he falls asleep.', '7. He is worried he might be “going crazy.”', '8. He has noticed that when his friends tell him a joke or he laughs at something on the TV, he drops whatever he’s holding and feels like his legs become weak.', '9. These episodes self-resolve in a few seconds.', '10. Examination shows a morbidly obese man in no acute distress.']","{'gender': 'Male', 'age': '30', 'specialties': ['Internal Medicine', 'Sleep Medicine'], 'subspecialties': ['Sleep Medicine', 'Pulmonary Disease', 'General Sleep Medicine'], 'specialty_prob': [0.8, 0.2], 'subspecialty_prob': [0.4, 0.4, 0.2], 'gpt_specialty': 'Neurology'}",Internal Medicine
13,"The addition of this drug is most likely to increase the risk of which of the following adverse effects?""","['A 73-year-old African American man comes to the physician for a routine health maintenance examination.', 'He has type 2 diabetes mellitus, hypertension, hypercholesterolemia, and coronary artery disease.', 'His current medications include metformin, hydrochlorothiazide, amlodipine, rosuvastatin, isosorbide mononitrate, aspirin, and dipyridamole.', 'He is 180 cm (5 ft 11 in) tall and weighs 110 kg (242 lb); BMI is 34 kg/m2.', 'His vital signs are within normal limits.', 'His hemoglobin A1c concentration is 6.7%.', 'Serum lipid studies show: | Cholesterol, total 302 mg/L | HDL-cholesterol 39 mg/dL | LDL-cholesterol 197 mg/dL | Triglycerides 292 mg/dL | The physician prescribes a drug that inhibits intestinal cholesterol absorption.']",7,"{'A': 'Hepatotoxicity', 'B': 'Hyperkalemia', 'C': 'Cutaneous flushing', 'D': 'Hyperuricemia'}",Hepatotoxicity,A,,"['1. A 73-year-old African American man comes to the physician for a routine health maintenance examination.', '2. He has type 2 diabetes mellitus, hypertension, hypercholesterolemia, and coronary artery disease.', '3. His current medications include metformin, hydrochlorothiazide, amlodipine, rosuvastatin, isosorbide mononitrate, aspirin, and dipyridamole.', '4. He is 180 cm (5 ft 11 in) tall.', '5. He weighs 110 kg (242 lb).', '6. His BMI is 34 kg/m2.', '7. His vital signs are within normal limits.', '8. His hemoglobin A1c concentration is 6.7%.', '9. His cholesterol, total is 302 mg/L.', '10. His HDL-cholesterol is 39 mg/dL.', '11. His LDL-cholesterol is 197 mg/dL.', '12. His triglycerides are 292 mg/dL.', '13. The physician prescribes a drug that inhibits intestinal cholesterol absorption.']","{'gender': 'Male', 'age': '73', 'specialties': ['Internal Medicine'], 'subspecialties': ['Geriatric Medicine', 'General Internal Medicine'], 'specialty_prob': [1.0], 'subspecialty_prob': [0.8, 0.2], 'gpt_specialty': 'Preventive Medicine'}",Internal Medicine
17,Which of the following is the most likely cause of this patient's symptoms?,"['A 55-year-old man comes to the emergency department because of a dry cough and severe chest pain beginning that morning.', 'Two months ago, he was diagnosed with inferior wall myocardial infarction and was treated with stent implantation of the right coronary artery.', 'He has a history of hypertension and hypercholesterolemia.', 'His medications include aspirin, clopidogrel, atorvastatin, and enalapril.', 'His temperature is 38.5°C (101.3°F), pulse is 92/min, respirations are 22/min, and blood pressure is 130/80 mm Hg.', 'Cardiac examination shows a high-pitched scratching sound best heard while sitting upright and during expiration.', 'The remainder of the examination shows no abnormalities.', 'An ECG shows diffuse ST elevations.', 'Serum studies show a troponin I of 0.2 ng/mL (N < 0.01).']",9,"{'A': 'Cardiac tamponade', 'B': 'Constrictive pericarditis', 'C': 'Reinfarction', 'D': 'Dressler syndrome'}",Dressler syndrome,D,,"['1. A 55-year-old man comes to the emergency department.', '2. He has a dry cough and severe chest pain beginning that morning.', '3. Two months ago, he was diagnosed with inferior wall myocardial infarction.', '4. He was treated with stent implantation of the right coronary artery.', '5. He has a history of hypertension and hypercholesterolemia.', '6. His medications include aspirin, clopidogrel, atorvastatin, and enalapril.', '7. His temperature is 38.5°C (101.3°F).', '8. His pulse is 92/min.', '9. His respirations are 22/min.', '10. His blood pressure is 130/80 mm Hg.', '11. Cardiac examination shows a high-pitched scratching sound best heard while sitting upright and during expiration.', '12. The remainder of the examination shows no abnormalities.', '13. An ECG shows diffuse ST elevations.', '14. Serum studies show a troponin I of 0.2 ng/mL (N < 0.01).']","{'gender': 'Male', 'age': '55 years old', 'specialties': ['Internal Medicine'], 'subspecialties': ['Pulmonary Disease', 'Cardiovascular Disease'], 'specialty_prob': [1.0], 'subspecialty_prob': [0.8, 0.2], 'gpt_specialty': 'Emergency Medicine'}",Internal Medicine
