,question,context,context_len,options,answer,answer_idx,explanation,facts,patient,specialty
375,Which of the following is the most likely cause of the headaches in this patient?,"['A 28-year-old woman presents with a recent history of severe headaches.', 'The patient states that the headaches came on gradually about 1 week ago and have steadily worsened.', 'She describes the headaches as severe, diffuse, and frequently causing nausea and vomiting, especially in the mornings.', 'Past medical history is significant for bacterial meningitis, approx.', 'one month ago, that was successfully treated.', 'Current medications are combined oral contraceptives and fluoxetine.', 'A review of systems is significant for fatigue and daytime sleepiness.', 'Family history is significant for her mother and aunt who suffer from migraines with aura.', 'Her temperature is 37.0°C (98.6°F), the blood pressure is 110/70 mm Hg, the pulse is 70/min, the respiratory rate is 16/min, and the oxygen saturation is 99% on room air.', 'The cardiac exam is normal.', 'Lungs are clear to auscultation.', 'The neurological exam is normal.', 'The ophthalmic exam reveals the indistinct margins of the optic disc, bilaterally.']",13,"{'A': 'Genetics', 'B': 'Hydrocephalus', 'C': 'Intracranial mass', 'D': 'Infection'}",Hydrocephalus,B,,"['1. Patient is a 28-year-old woman.', '2. Patient has a recent history of severe headaches.', '3. Headaches came on gradually about 1 week ago.', '4. Headaches have steadily worsened.', '5. Headaches are severe, diffuse, and frequently causing nausea and vomiting, especially in the mornings.', '6. Past medical history is significant for bacterial meningitis, approx. one month ago, that was successfully treated.', '7. Current medications are combined oral contraceptives and fluoxetine.', '8. Review of systems is significant for fatigue and daytime sleepiness.', '9. Family history is significant for her mother and aunt who suffer from migraines with aura.', '10. Temperature is 37.0°C (98.6°F).', '11. Blood pressure is 110/70 mm Hg.', '12. Pulse is 70/min.', '13. Respiratory rate is 16/min.', '14. Oxygen saturation is 99% on room air.', '15. Cardiac exam is normal.', '16. Lungs are clear to auscultation.', '17. Neurological exam is normal.', '18. Ophthalmic exam reveals the indistinct margins of the optic disc, bilaterally.']","{'gender': 'Female', 'age': '28 years old', 'specialties': ['Neurology'], 'subspecialties': ['Vascular Neurology', 'General Neurology'], 'specialty_prob': [1.0], 'subspecialty_prob': [0.8, 0.2], 'gpt_specialty': 'Neurology'}",Neurology
383,Which of the following is the most crucial in the development of this patient’s condition?,"['A 65-year-old man is brought to the emergency department with a complaint of right-sided numbness for 5 hours.', 'The numbness started in the right-side of the face and has progressed to the same side arm and leg within 30 minutes.', 'He denies limb weakness, walking difficulty, vision problem, or vertigo.', 'He had similar symptoms 5 months ago that were resolved within 10 minutes.', 'The past medical history includes type 2 diabetes mellitus, hypertension, dyslipidemia, and hyperuricemia.', 'The medication list includes allopurinol, amlodipine, aspirin, glimepiride, lisinopril, and rosuvastatin.', 'The blood pressure is 165/102 mm Hg, and the rest of the vital signs are within normal limits.', 'On examination, there are no facial droop and slurring of the speech noted.', 'The muscle strength is normal in all 4 limbs with a normal tone and deep tendon reflexes.', 'There is a decreased pinprick sensation and proprioception on the right arm and leg.', 'The gait is normal.', 'The blood sugar is 221 mg/dL.', 'The CT scan of the head is normal.', 'The MRI of the head with diffusion-weighted imaging reveals a 15 mm diffusion restriction in the left thalamus.']",14,"{'A': 'Emboli from deep leg veins with a patent foramen ovale', 'B': 'Leakage of blood from intracranial vessel due to uncontrolled hypertension', 'C': 'Lipohyalinosis of small penetrating arteries due to chronic hypertension', 'D': 'Significant stenosis of the left carotid artery'}",Lipohyalinosis of small penetrating arteries due to chronic hypertension,C,,"['1. Patient is 65 years old.', '2. Patient has right-sided numbness for 5 hours.', '3. Numbness started in right-side of face and progressed to same side arm and leg within 30 minutes.', '4. Patient denies limb weakness, walking difficulty, vision problem, or vertigo.', '5. Patient had similar symptoms 5 months ago that were resolved within 10 minutes.', '6. Past medical history includes type 2 diabetes mellitus, hypertension, dyslipidemia, and hyperuricemia.', '7. Medication list includes allopurinol, amlodipine, aspirin, glimepiride, lisinopril, and rosuvastatin.', '8. Blood pressure is 165/102 mm Hg.', '9. Other vital signs are within normal limits.', '10. No facial droop or slurring of speech noted on examination.', '11. Muscle strength is normal in all 4 limbs with normal tone and deep tendon reflexes.', '12. Decreased pinprick sensation and proprioception on right arm and leg.', '13. Gait is normal.', '14. Blood sugar is 221 mg/dL.', '15. CT scan of head is normal.', '16. MRI of head with diffusion-weighted imaging reveals 15 mm diffusion restriction in left thalamus.']","{'gender': 'Male', 'age': '65 years old', 'specialties': ['Neurology'], 'subspecialties': ['Vascular Neurology'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Neurology'}",Neurology
384,Which of the following is the most likely cause of this patient's physical findings?,"['A 57-year-old woman comes to the emergency department 1 hour after experiencing a distressing 10-minute episode of stuttering during a business meeting.', 'She has hypertension.', 'She has smoked 2 packs of cigarettes daily for 30 years.', 'Current medications include fosinopril and hydrochlorothiazide.', 'Her temperature is 37°C (98.6°F), pulse is 90/min, respirations are 16/min, and blood pressure is 134/88 mm Hg.', 'She is oriented to person, place, and time.', 'Her speech is clear.', 'When she is asked to hold both arms fully extended at shoulder level with palms upwards and eyes closed, her right palm turns inwards and downwards.']",8,"{'A': 'Cerebellar lesion', 'B': 'Inferior frontal gyrus lesion', 'C': 'Upper motor neuron lesion', 'D': 'Thalamus lesion'}",Upper motor neuron lesion,C,,"['1. A 57-year-old woman comes to the emergency department 1 hour after experiencing a distressing 10-minute episode of stuttering during a business meeting.', '2. She has hypertension.', '3. She has smoked 2 packs of cigarettes daily for 30 years.', '4. Current medications include fosinopril and hydrochlorothiazide.', '5. Her temperature is 37°C (98.6°F).', '6. Pulse is 90/min.', '7. Respirations are 16/min.', '8. Blood pressure is 134/88 mm Hg.', '9. She is oriented to person, place, and time.', '10. Her speech is clear.', '11. When she is asked to hold both arms fully extended at shoulder level with palms upwards and eyes closed, her right palm turns inwards and downwards.']","{'gender': 'Female', 'age': '57 years old', 'specialties': ['Neurology'], 'subspecialties': ['Vascular Neurology'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Neurology'}",Neurology
389,Which of the following was the most likely cause of this patient's symptoms?,"['A 56-year-old woman is brought to the emergency department by her husband 30 minutes after a generalized tonic-clonic seizure.', 'Over the past 3 months, she has had recurrent headaches and worsening early-morning vomiting.', 'She has no personal or family history of a seizure disorder.', 'An MRI of the brain shows a central mass; surgical resection is planned.', 'One day before the surgery, the patient has another generalized seizure and, despite resuscitative efforts, she dies.', 'Gross examination of the brain at autopsy is shown.']",6,"{'A': 'Oligodendroglioma', 'B': 'Glioblastoma', 'C': 'Schwannoma', 'D': 'Meningioma'}",Glioblastoma,B,,"['1. A 56-year-old woman is brought to the emergency department by her husband 30 minutes after a generalized tonic-clonic seizure.', '2. Over the past 3 months, she has had recurrent headaches and worsening early-morning vomiting.', '3. She has no personal or family history of a seizure disorder.', '4. An MRI of the brain shows a central mass.', '5. Surgical resection is planned.', '6. One day before the surgery, the patient has another generalized seizure.', '7. Despite resuscitative efforts, she dies.', '8. Gross examination of the brain at autopsy is shown.']","{'gender': 'Female', 'age': '56 years old', 'specialties': ['Neurology'], 'subspecialties': ['Epilepsy', 'General Neurology'], 'specialty_prob': [1.0], 'subspecialty_prob': [0.6, 0.4], 'gpt_specialty': 'Neurology'}",Neurology
394,Angiography would most likely show a dissection in which of the following vessels?,"['A 53-year-old woman is brought to the emergency department for a 2-hour history of balance problems.', 'She was gardening when she suddenly felt very dizzy and she quickly called for her husband.', 'When he arrived, she was sitting on the ground, swaying back and forth but overall leaning to the right.', 'When she tried to stand up they found she was very unsteady and unbalanced, so her husband carried her to the car.', 'In the emergency department, while lying in bed, she complains of a room-spinning sensation; when she sits up, she sways to the right.', 'She is unable to walk more than 3 steps without falling.', 'Finger-nose-finger and heel-knee-shin testing are abnormal.', 'She has a past medical history of hypertension, polycystic ovarian syndrome, and type 2 diabetes mellitus.', 'All of her vital signs are all within normal limits.']",9,"{'A': 'Anterior cerebral artery', 'B': 'Middle cerebral artery', 'C': 'Vertebral artery', 'D': 'Anterior spinal artery'}",Vertebral artery,C,,"['1. A 53-year-old woman is brought to the emergency department.', '2. She has a 2-hour history of balance problems.', '3. She was gardening when she suddenly felt very dizzy.', '4. She quickly called for her husband.', '5. When he arrived, she was sitting on the ground, swaying back and forth but overall leaning to the right.', '6. When she tried to stand up they found she was very unsteady and unbalanced.', '7. Her husband carried her to the car.', '8. In the emergency department, while lying in bed, she complains of a room-spinning sensation.', '9. When she sits up, she sways to the right.', '10. She is unable to walk more than 3 steps without falling.', '11. Finger-nose-finger and heel-knee-shin testing are abnormal.', '12. She has a past medical history of hypertension.', '13. She has a past medical history of polycystic ovarian syndrome.', '14. She has a past medical history of type 2 diabetes mellitus.', '15. All of her vital signs are all within normal limits.']","{'gender': 'Female', 'age': '53 years old', 'specialties': ['Neurology'], 'subspecialties': ['Vascular Neurology'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Neurology'}",Neurology
414,What would be the expected findings on brain MRI?,"['A 37-year-old man with a history of depression has a two-year history of slowly worsening movement abnormalities characterized by rapid, involuntary, nonrepetitive movements involving his face, trunk, and limbs presents to clinic.', 'He has also noted worsening of his depression, along with symptoms of increased anxiety and irritability.', 'During the interview, his wife explains that he has suffered cognitive decline, most notably in the realm of executive function.', 'On family history, you discover that his father suffered from a similar illness before dying at the age of 44.']",4,"{'A': 'Normal brain MRI', 'B': 'Atrophy of the caudate nucleus', 'C': 'Periventricular high-signal intensity lesions on FLAIR sequence', 'D': 'Atrophy of the hippocampi'}",Atrophy of the caudate nucleus,B,,"['1. A 37-year-old man has a two-year history of slowly worsening movement abnormalities.', '2. The movement abnormalities involve his face, trunk, and limbs.', '3. The man has a history of depression.', '4. The man has worsening of his depression, along with symptoms of increased anxiety and irritability.', ""5. The man's wife explains that he has suffered cognitive decline, most notably in the realm of executive function."", ""6. The man's father suffered from a similar illness."", ""7. The man's father died at the age of 44.""]","{'gender': 'Male', 'age': '37', 'specialties': ['Neurology'], 'subspecialties': ['Movement Disorders', 'Neurology with Special Qualification in Child Neurology'], 'specialty_prob': [1.0], 'subspecialty_prob': [0.6, 0.4], 'gpt_specialty': 'Neurology'}",Neurology
415,Which of the following is the next best step in management for the most likely diagnosis?,"['A 55-year-old man with a history of diabetes and hypertension presents to the emergency department when he found half of his face paralyzed this morning.', 'The patient was last seen normal the night before by his wife and woke up with these symptoms.', 'He has a past medical history of diabetes and hypertension and is not currently taking any medications for these conditions.', 'His temperature is 98.5°F (36.9°C), blood pressure is 177/118 mmHg, pulse is 90/min, respirations are 15/min, and oxygen saturation is 99% on room air.', 'Physical exam is notable for an inability for the patient to move any part of his face on the right side.', 'The rest of his neurological exam is within normal limits.']",6,"{'A': 'Elevation of the head of the bed and intubation', 'B': 'MRI of the head', 'C': 'Tissue plasminogen activator', 'D': 'Topical lubricants and discharge'}",Topical lubricants and discharge,D,,"['1. Patient is 55 years old.', '2. Patient has a history of diabetes and hypertension.', '3. Patient was last seen normal the night before by his wife.', '4. Patient woke up with half of his face paralyzed.', '5. Patient is not currently taking any medications for diabetes or hypertension.', ""6. Patient's temperature is 98.5°F (36.9°C)."", ""7. Patient's blood pressure is 177/118 mmHg."", ""8. Patient's pulse is 90/min."", ""9. Patient's respirations are 15/min."", ""10. Patient's oxygen saturation is 99% on room air."", '11. Patient is unable to move any part of his face on the right side.', ""12. Patient's neurological exam is within normal limits.""]","{'gender': 'Male', 'age': '55 years old', 'specialties': ['Neurology'], 'subspecialties': ['Vascular Neurology'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Neurology'}",Neurology
419,The nerve involved in this patient’s clinical presentation exits the skull through which of the following brain structures?,"['A 45-year-old woman comes to the physician’s office with complaints of jaw pain.', 'When she eats, yawns, or rubs her jaw, she gets intense, shooting pains down the left side of her jaw, including her lower lip and chin.', 'These episodes last about 30 seconds and have recurred about 10 times per day for the last month.', 'She finds these episodes extremely distressing and comes to the physician’s office in hope of finding a treatment.', 'The patient denies any locking of her jaw.', 'Physical exam is not notable for any tenderness to palpation over the jaw.', 'She has no crepitus in her temporomandibular joint.', 'The patient is able to open and close her jaw without pain.']",8,"{'A': 'Superior orbital fissure', 'B': 'Foramen ovale', 'C': 'Foramen spinosum', 'D': 'Jugular foramen'}",Foramen ovale,B,,"[""1. A 45-year-old woman comes to the physician's office with complaints of jaw pain."", '2. When she eats, yawns, or rubs her jaw, she gets intense, shooting pains down the left side of her jaw, including her lower lip and chin.', '3. These episodes last about 30 seconds.', '4. These episodes have recurred about 10 times per day for the last month.', ""5. She finds these episodes extremely distressing and comes to the physician's office in hope of finding a treatment."", '6. The patient denies any locking of her jaw.', '7. Physical exam is not notable for any tenderness to palpation over the jaw.', '8. She has no crepitus in her temporomandibular joint.', '9. The patient is able to open and close her jaw without pain.']","{'gender': 'Female', 'age': '45', 'specialties': ['Neurology'], 'subspecialties': ['Neurology with Special Qualification in Child Neurology', 'General Neurology'], 'specialty_prob': [1.0], 'subspecialty_prob': [0.8, 0.2], 'gpt_specialty': 'Otolaryngology'}",Neurology
427,Which of the following is the most likely pathology for this presentation?,"['A 75-year-old man was brought in by his daughter since he was having increased incidences of forgetting things.', 'His daughter said that he becomes increasingly frustrated searching for his glasses and keys most of the time.', 'He was helped out a couple of times in the supermarket for forgetting the way out.', 'He recently lost his driving license when he was spotted by the cops driving in the wrong direction on the interstate.']",4,"{'A': 'Prion infection', 'B': 'α-synuclein defect', 'C': 'Depigmented substantia nigra and locus cerulus', 'D': 'Abnormal cleavage of amyloid precursor protein'}",Abnormal cleavage of amyloid precursor protein,D,,"['1. A 75-year-old man was brought in by his daughter.', '2. He was having increased incidences of forgetting things.', '3. His daughter said he becomes increasingly frustrated searching for his glasses and keys most of the time.', '4. He was helped out a couple of times in the supermarket for forgetting the way out.', '5. He recently lost his driving license.', '6. He was spotted by the cops driving in the wrong direction on the interstate.']","{'gender': 'Male', 'age': '75 years old', 'specialties': ['Neurology'], 'subspecialties': ['Neurodevelopmental Disabilities', 'Neurology with Special Qualification in Child Neurology'], 'specialty_prob': [1.0], 'subspecialty_prob': [0.8, 0.2], 'gpt_specialty': 'Neurology'}",Neurology
433,The affected vessel in this patient directly branches from which of the following vessels?,"['A 25-year-old male rugby player presents to the emergency room complaining of a severe headache.', 'He is accompanied by his teammate who reports that he had a head-to-head collision with another player and briefly passed out before regaining consciousness.', 'His past medical history is significant for a pilocytic astrocytoma as a child treated successfully with surgery.', 'His family history is notable for stroke in his father.', 'His temperature is 98.9°F (37.2°C), blood pressure is 160/90 mmHg, pulse is 60/min, and respirations are 20/min.', 'On examination, he is lethargic but oriented to person, place, and time.']",6,"{'A': 'Maxillary artery', 'B': 'Internal carotid artery', 'C': 'Superficial temporal artery', 'D': 'Anterior cerebral artery'}",Maxillary artery,A,,"['1. Patient is a 25-year-old male rugby player.', '2. Patient presents to the emergency room complaining of a severe headache.', '3. Patient is accompanied by his teammate.', '4. Patient had a head-to-head collision with another player and briefly passed out before regaining consciousness.', ""5. Patient's past medical history is significant for a pilocytic astrocytoma as a child treated successfully with surgery."", ""6. Patient's family history is notable for stroke in his father."", ""7. Patient's temperature is 98.9°F (37.2°C)."", ""8. Patient's blood pressure is 160/90 mmHg."", ""9. Patient's pulse is 60/min."", ""10. Patient's respirations are 20/min."", '11. On examination, patient is lethargic but oriented to person, place, and time.']","{'gender': 'Male', 'age': '25', 'specialties': ['Neurology'], 'subspecialties': ['Vascular Neurology'], 'specialty_prob': [1.0], 'subspecialty_prob': [1.0], 'gpt_specialty': 'Neurology'}",Neurology
